anyo;cut_comuna_anyocenso;cut_distrito;censo_total_poblacion
1982;455;32;6250
1982;455;33;3269
1982;455;34;2542
1982;455;35;498
1982;455;36;1730
1982;455;37;4320
1982;456;1;1799
1982;456;2;3825
1982;456;3;6926
1982;456;4;1598
1982;456;5;5392
1982;456;6;7508
1982;456;7;1359
1982;456;8;13933
1982;456;9;9005
1982;456;10;51546
1982;456;11;12110
1982;456;12;59355
1982;456;13;3635
1982;456;14;25761
1982;456;15;3467
1982;457;1;8454
1982;457;2;14948
1982;457;3;6993
1982;457;4;222
1982;457;5;1199
1982;457;6;1544
1982;458;1;9162
1982;458;2;12592
1982;458;3;12752
1982;458;4;834
1982;458;5;4364
1982;458;6;596
1982;458;7;2324
1982;458;8;796
1982;458;9;1113
1982;458;10;1210
1982;458;11;1973
1982;459;1;3011
1982;459;2;1106
1982;459;3;1380
1982;459;4;1318
1982;459;5;1539
1982;459;6;2403
1982;460;1;7496
1982;460;2;992
1982;460;3;503
1982;460;4;673
1982;460;5;253
1982;460;6;420
1982;460;7;770
1982;460;8;2277
1982;460;9;896
1982;460;10;811
1982;461;1;4177
1982;461;2;398
1982;461;3;258
1982;461;4;1372
1982;461;5;1228
1982;461;6;899
1982;461;7;608
1982;461;8;1423
1982;461;9;250
1982;461;10;668
1982;461;11;586
1982;462;1;18441
1982;462;2;12645
1982;462;3;9177
1982;462;4;7049
1982;462;5;1405
1982;462;6;76
1982;463;1;8041
1982;463;2;14624
1982;463;3;13407
1982;463;4;22559
1982;463;5;186
1982;463;6;200
1982;463;7;377
1982;463;8;8088
1982;463;9;436
1982;463;10;2453
1982;464;38;33723
1982;464;39;7346
1982;464;40;218
1982;465;1;7658
1982;465;2;2005
1982;465;3;419
1982;465;4;123
1982;465;5;333
1982;465;6;694
1982;465;7;1474
1982;465;8;864
1982;465;9;787
1982;465;10;8088
1982;466;1;3153
1982;466;2;3466
1982;466;3;2234
1982;466;4;9403
1982;466;5;1832
1982;466;6;504
1982;466;7;1014
1982;466;8;1842
1982;466;9;1226
1982;467;1;11722
1982;467;2;431
1982;467;3;3688
1982;467;4;951
1982;467;5;8648
1982;467;6;338
1982;467;7;527
1982;467;8;545
